track,artist
Seven (feat. Latto) (Explicit Ver.),Latto
Seven (feat. Latto) (Explicit Ver.),Jung Kook
LALA,Myke Towers
vampire,Olivia Rodrigo
Cruel Summer,Taylor Swift
WHERE SHE GOES,Bad Bunny
Sprinter,Dave
Sprinter,Central Cee
Ella Baila Sola,Eslabon Armado
Ella Baila Sola,Peso Pluma
Columbia,Quevedo
fukumean,Gunna
La Bebe - Remix,Peso Pluma
La Bebe - Remix,Yng Lvcas
un x100to,Bad Bunny
un x100to,Grupo Frontera
Super Shy,NewJeans
Flowers,Miley Cyrus
Daylight,David Kushner
As It Was,Harry Styles
Kill Bill,SZA
Cupid - Twin Ver.,Fifty Fifty
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish
Classy 101,Feid
Classy 101,Young Miko
Like Crazy,Jimin
LADY GAGA,Gabito Ballesteros
LADY GAGA,Junior H
LADY GAGA,Peso Pluma
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift
I Wanna Be Yours,Arctic Monkeys
"Peso Pluma: Bzrp Music Sessions, Vol. 55",Bizarrap
"Peso Pluma: Bzrp Music Sessions, Vol. 55",Peso Pluma
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),The Weeknd
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),Madonna
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),Playboi Carti
SABOR FRESA,Fuerza Regida
Calm Down (with Selena Gomez),Rï¿½ï¿½ma
Calm Down (with Selena Gomez),Selena G
MOJABI GHOST,Tainy
MOJABI GHOST,Bad Bunny
Last Night,Morgan Wallen
Dance The Night (From Barbie The Album),Dua Lipa
Rush,Troye Sivan
TULUM,Peso Pluma
TULUM,Grupo Frontera
Creepin',The Weeknd
Creepin',21 Savage
Creepin',Metro Boomin
Anti-Hero,Taylor Swift
TQG,Karol G
TQG,Shakira
Los del Espacio,Big One
Los del Espacio,Duki
Los del Espacio,Lit Killah
Los del Espacio,Maria Becerra
Los del Espacio,FMK
Los del Espacio,Rusherking
Los del Espacio,Emilia
Los del Espacio,Tiago pzk
Frï¿½ï¿½gil (feat. Grupo Front,Yahritza Y Su Esencia
Frï¿½ï¿½gil (feat. Grupo Front,Grupo Frontera
Blank Space,Taylor Swift
Style,Taylor Swift
TQM,Fuerza Regida
El Azul,Junior H
El Azul,Peso Pluma
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone
Sunflower - Spider-Man: Into the Spider-Verse,Swae Lee
I'm Good (Blue),Bebe Rexha
I'm Good (Blue),David Guetta
See You Again,Tyler
See You Again,The Creator
See You Again,Kali Uchis
Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj
Barbie World (with Aqua) [From Barbie The Album],Aqua
Barbie World (with Aqua) [From Barbie The Album],Ice Spice
Angels Like You,Miley Cyrus
I Ain't Worried,OneRepublic
Die For You,The Weeknd
Starboy,The Weeknd
Starboy,Daft Punk
Die For You - Remix,Ariana Grande
Die For You - Remix,The Weeknd
El Cielo,Feid
El Cielo,Myke Towers
El Cielo,Sky Rompiendo
Baby Don't Hurt Me,David Guetta
Baby Don't Hurt Me,Anne-Marie
Baby Don't Hurt Me,Coi Leray
AMARGURA,Karol G
(It Goes Like) Nanana - Edit,Peggy Gou
Another Love,Tom Odell
Blinding Lights,The Weeknd
Moonlight,Kali Uchis
La Bachata,Manuel Turizo
S91,Karol G
cardigan,Taylor Swift
Tï¿½ï¿,dennis
Tï¿½ï¿,MC Kevin o Chris
Boy's a liar Pt. 2,PinkPantheress
Boy's a liar Pt. 2,Ice Spice
Left and Right (Feat. Jung Kook of BTS),Charlie Puth
Left and Right (Feat. Jung Kook of BTS),BTS
Left and Right (Feat. Jung Kook of BTS),Jung Kook
BESO,Rauw Alejandro
BESO,ROSALï¿½
Hey Mor,Ozuna
Hey Mor,Feid
Yellow,Chris Molitor
Karma,Taylor Swift
People,Libianca
Overdrive,Post Malone
Enchanted (Taylor's Version),Taylor Swift
BABY HELLO,Rauw Alejandro
BABY HELLO,Bizarrap
Heat Waves,Glass Animals
golden hour,JVKE
Sweater Weather,The Neighbourhood
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap
"Quevedo: Bzrp Music Sessions, Vol. 52",Quevedo
Viva La Vida,Coldplay
Here With Me,d4vd
Unholy (feat. Kim Petras),Sam Smith
Unholy (feat. Kim Petras),Kim Petras
Yandel 150,Yandel
Yandel 150,Feid
CORAZï¿½ï¿½N VA,Maria Becerra
Riptide,Vance Joy
Until I Found You (with Em Beihold) - Em Beihold Version,Em Beihold
Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez
Novidade na ï¿½ï¿,Mc Livinho
Novidade na ï¿½ï¿,DJ Matt D
Back To December (Taylor's Version),Taylor Swift
STAY (with Justin Bieber),Justin Bieber
STAY (with Justin Bieber),The Kid Laroi
El Merengue,Marshmello
El Merengue,Manuel Turizo
Someone You Loved,Lewis Capaldi
Me Porto Bonito,Chencho Corleone
Me Porto Bonito,Bad Bunny
Makeba,Jain
MONTAGEM - FR PUNK,Ayparia
MONTAGEM - FR PUNK,unxbected
Fast Car,Luke Combs
What It Is (Solo Version),Doechii
Coco Chanel,Bad Bunny
Coco Chanel,Eladio Carrion
Donï¿½ï¿½ï¿½t Bl,Taylor Swift
Still With You,Jung Kook
All My Life (feat. J. Cole),J. Cole
All My Life (feat. J. Cole),Lil Durk
Say Yes To Heaven,Lana Del Rey
Snooze,SZA
Summertime Sadness,Lana Del Rey
Take Two,BTS
Lover,Taylor Swift
Too Many Nights (feat. Don Toliver & with Future),Future
Too Many Nights (feat. Don Toliver & with Future),Metro Boomin
Too Many Nights (feat. Don Toliver & with Future),Don Toliver
Chemical,Post Malone
Mockingbird,Eminem
New Jeans,NewJeans
Primera Cita,Carin Leon
Cold Heart - PNAU Remix,Dua Lipa
Cold Heart - PNAU Remix,Elton John
Cold Heart - PNAU Remix,Pnau
Dandelions,Ruth B.
Bones,Imagine Dragons
Set Fire to the Rain,Adele
Money Trees,Kendrick Lamar
Money Trees,Jay Rock
Tak Segampang Itu,Anggi Marito
LAGUNAS,Jasiel Nuï¿½ï¿½ez
LAGUNAS,Peso P
Mine (Taylor's Version),Taylor Swift
Everybody Wants To Rule The World,Tears For Fears
No Role Modelz,J. Cole
Tattoo,Loreen
Rara Vez,Taiu
Rara Vez,Milo j
VAGABUNDO,Sebastian Yatra
VAGABUNDO,Manuel Turizo
VAGABUNDO,Beï¿½ï
august,Taylor Swift
LUNA,Junior H
LUNA,Peso Pluma
Miracle (with Ellie Goulding),Calvin Harris
Miracle (with Ellie Goulding),Ellie Goulding
Nonsense,Sabrina Carpenter
Que Vuelvas,Carin Leon
Que Vuelvas,Grupo Frontera
Por las Noches,Peso Pluma
Feliz Cumpleaï¿½ï¿½os Fe,Feid
Can't Hold Us (feat. Ray Dalton),Ray Dalton
Can't Hold Us (feat. Ray Dalton),Ryan Lewis
